class,total,correct,accuracy
dumplings,50,47,0.94
spaghetti_carbonara,50,47,0.94
french_fries,50,46,0.92
spaghetti_bolognese,50,46,0.92
risotto,50,46,0.92
donuts,50,46,0.92
miso_soup,50,45,0.9
club_sandwich,50,45,0.9
hot_dog,50,45,0.9
chocolate_cake,50,45,0.9
eggs_benedict,50,44,0.88
pancakes,50,44,0.88
lasagna,50,44,0.88
spring_rolls,50,44,0.88
tiramisu,50,43,0.86
sushi,50,43,0.86
waffles,50,43,0.86
ramen,50,43,0.86
garlic_bread,50,43,0.86
pad_thai,50,43,0.86
hamburger,50,42,0.84
baklava,50,42,0.84
ice_cream,50,42,0.84
nachos,50,41,0.82
french_toast,50,41,0.82
pizza,50,41,0.82
omelette,50,39,0.78
gnocchi,50,36,0.72
ravioli,50,30,0.6
grilled_cheese_sandwich,50,27,0.54
